央视卫视,#genre#
CCTV9,http://156.238.248.80:8880/play/102.597368.m3u8
CCTV10,http://156.238.248.80:8880/play/103.168359.m3u8
CCTV11,http://156.238.248.80:8880/play/104.362746.m3u8
CCTV12,http://156.238.248.80:8880/play/105.565574.m3u8
CCTV13,http://156.238.248.80:8880/play/106.297809.m3u8
CCTV14,http://156.238.248.80:8880/play/107.842500.m3u8
CCTV15,http://156.238.248.80:8880/play/108.843355.m3u8
CCTV17,http://156.238.248.80:8880/play/109.657438.m3u8
CCTV4欧洲,http://156.238.248.80:8880/play/110.275535.m3u8
CCTV4美洲,http://156.238.248.80:8880/play/111.234864.m3u8
赛事最经典,http://156.238.248.80:8880/play/112.871186.m3u8
体坛名栏汇,http://156.238.248.80:8880/play/113.722968.m3u8
大湾区卫视,http://156.238.248.80:8880/play/114.926185.m3u8
四海钓鱼,http://156.238.248.80:8880/play/115.175457.m3u8
陕西体育,http://156.238.248.80:8880/play/116.311231.m3u8
辽宁体育,http://156.238.248.80:8880/play/117.917367.m3u8
东方卫视,http://156.238.248.80:8880/play/118.219776.m3u8
江苏卫视,http://156.238.248.80:8880/play/119.111663.m3u8
广东卫视,http://156.238.248.80:8880/play/120.701119.m3u8
北京卫视,http://156.238.248.80:8880/play/121.285053.m3u8
辽宁卫视,http://156.238.248.80:8880/play/122.271765.m3u8
河北卫视,http://156.238.248.80:8880/play/123.157753.m3u8
江西卫视,http://156.238.248.80:8880/play/124.941106.m3u8
陕西卫视,http://156.238.248.80:8880/play/125.836023.m3u8
湖北卫视,http://156.238.248.80:8880/play/126.751439.m3u8
农林卫视,http://156.238.248.80:8880/play/127.534088.m3u8
兵团卫视,http://156.238.248.80:8880/play/128.403548.m3u8
上海新闻综合,http://156.238.248.80:8880/play/129.590894.m3u8
上视东方影视,http://156.238.248.80:8880/play/130.481919.m3u8
公共新闻频道,http://156.238.248.80:8880/play/131.230969.m3u8
盐城新闻综合,http://156.238.248.80:8880/play/132.401432.m3u8
江阴新闻综合,http://156.238.248.80:8880/play/133.947435.m3u8
南通新闻综合,http://156.238.248.80:8880/play/134.813306.m3u8
宜兴新闻综合,http://156.238.248.80:8880/play/135.257375.m3u8
溧水新闻综合,http://156.238.248.80:8880/play/136.126446.m3u8
陕西银龄频道,http://156.238.248.80:8880/play/137.837872.m3u8
陕西都市青春频道,http://156.238.248.80:8880/play/138.587084.m3u8
陕西秦腔频道,http://156.238.248.80:8880/play/139.670842.m3u8
陕西新闻资讯频道,http://156.238.248.80:8880/play/140.655362.m3u8
财富天下,http://156.238.248.80:8880/play/141.715445.m3u8
辽宁公共频道,http://156.238.248.80:8880/play/142.108057.m3u8
辽宁生活频道,http://156.238.248.80:8880/play/143.513718.m3u8
辽宁影视剧频道,http://156.238.248.80:8880/play/144.731320.m3u8
宁夏文旅频道,http://156.238.248.80:8880/play/145.162098.m3u8
宁夏经济频道,http://156.238.248.80:8880/play/146.257214.m3u8
经典香港电影,http://156.238.248.80:8880/play/147.729198.m3u8
抗战经典影片,http://156.238.248.80:8880/play/148.253239.m3u8
新片放映厅,http://156.238.248.80:8880/play/149.954678.m3u8
CHC影迷电影,http://156.238.248.80:8880/play/150.406050.m3u8
CHC动作电影,http://156.238.248.80:8880/play/151.687467.m3u8
CHC家庭影院,http://156.238.248.80:8880/play/152.857614.m3u8
和美乡途轮播台,http://156.238.248.80:8880/play/153.619672.m3u8
最强综艺趴,http://156.238.248.80:8880/play/154.227246.m3u8
体育-昨天,#genre#
斯诺克 傅家俊、许医尘轻松晋级 【回放】傅家俊10-1明克·努查鲁特（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/155.441343.m3u8
斯诺克 傅家俊、许医尘轻松晋级 【回放】伊安·伯恩斯10-6萨希尔·纳亚尔（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/156.797795.m3u8
斯诺克 傅家俊、许医尘轻松晋级 【回放】利亚姆·格雷姆4-10奥利弗·塞克斯（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/157.904583.m3u8
斯诺克 傅家俊、许医尘轻松晋级 【回放】布尔丘·雷维斯10-6克雷格·斯泰德曼（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/158.554525.m3u8
斯诺克 傅家俊、许医尘轻松晋级 【回放】克里斯·托顿10-5丹尼尔·博伊斯（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/159.566017.m3u8
斯诺克 傅家俊、许医尘轻松晋级 【回放】斯蒂芬·霍尔沃斯10-6克雷什·古尔巴克萨尼（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/160.311115.m3u8
斯诺克 傅家俊、许医尘轻松晋级 【回放】许医尘10-4斯图尔特·卡林顿（第二阶段）（赛场原声） 02:30,http://156.238.248.80:8880/play/161.763095.m3u8
NBA 奇才VS公牛 全场回放（盛哲） 06:55,http://156.238.248.80:8880/play/162.642705.m3u8
NBA 奇才VS公牛 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/163.531597.m3u8
NBA 步行者VS森林狼 全场回放（刘圳展） 06:55,http://156.238.248.80:8880/play/164.269982.m3u8
NBA 步行者VS森林狼 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/165.191166.m3u8
NBA 篮网VS雄鹿 全场回放（刘芳宇） 07:25,http://156.238.248.80:8880/play/166.763760.m3u8
NBA 篮网VS雄鹿 全场回放（英文原声） 07:25,http://156.238.248.80:8880/play/167.920711.m3u8
NBA 猛龙VS热火 全场回放（王晓晨） 07:25,http://156.238.248.80:8880/play/168.425979.m3u8
NBA 猛龙VS热火 全场回放（英文原声） 07:25,http://156.238.248.80:8880/play/169.877371.m3u8
NBA 凯尔特人VS黄蜂 全场回放（蔡凯臣、季孟年） 07:55,http://156.238.248.80:8880/play/170.779495.m3u8
NBA 凯尔特人VS黄蜂 全场回放（英文原声） 07:55,http://156.238.248.80:8880/play/171.512675.m3u8
NBA 鹈鹕VS爵士 全场回放（贾磊） 07:55,http://156.238.248.80:8880/play/172.284382.m3u8
NBA 鹈鹕VS爵士 全场回放（英文原声） 07:55,http://156.238.248.80:8880/play/173.252374.m3u8
NBA 勇士VS国王 全场回放（庄宁宇、徐咏、陈正昊、金佳悦） 09:45,http://156.238.248.80:8880/play/174.844354.m3u8
NBA 勇士VS国王 全场回放（拜月宁） 09:45,http://156.238.248.80:8880/play/175.139142.m3u8
