央视卫视,#genre#
CCTV7,http://156.238.248.80:8880/play/100.762799.m3u8
CCTV8,http://156.238.248.80:8880/play/101.357481.m3u8
CCTV9,http://156.238.248.80:8880/play/102.957947.m3u8
CCTV10,http://156.238.248.80:8880/play/103.712624.m3u8
CCTV11,http://156.238.248.80:8880/play/104.231297.m3u8
CCTV12,http://156.238.248.80:8880/play/105.994178.m3u8
CCTV13,http://156.238.248.80:8880/play/106.813390.m3u8
CCTV14,http://156.238.248.80:8880/play/107.106146.m3u8
CCTV15,http://156.238.248.80:8880/play/108.374829.m3u8
CCTV17,http://156.238.248.80:8880/play/109.576961.m3u8
CCTV4欧洲,http://156.238.248.80:8880/play/110.643792.m3u8
CCTV4美洲,http://156.238.248.80:8880/play/111.429279.m3u8
赛事最经典,http://156.238.248.80:8880/play/112.788399.m3u8
体坛名栏汇,http://156.238.248.80:8880/play/113.802414.m3u8
四海钓鱼,http://156.238.248.80:8880/play/114.610854.m3u8
陕西体育,http://156.238.248.80:8880/play/115.926900.m3u8
辽宁体育,http://156.238.248.80:8880/play/116.774021.m3u8
东方卫视,http://156.238.248.80:8880/play/117.370713.m3u8
江苏卫视,http://156.238.248.80:8880/play/118.617759.m3u8
广东卫视,http://156.238.248.80:8880/play/119.569167.m3u8
北京卫视,http://156.238.248.80:8880/play/120.364155.m3u8
辽宁卫视,http://156.238.248.80:8880/play/121.280539.m3u8
河北卫视,http://156.238.248.80:8880/play/122.280423.m3u8
江西卫视,http://156.238.248.80:8880/play/123.830401.m3u8
陕西卫视,http://156.238.248.80:8880/play/124.112797.m3u8
湖北卫视,http://156.238.248.80:8880/play/125.782201.m3u8
农林卫视,http://156.238.248.80:8880/play/126.957176.m3u8
兵团卫视,http://156.238.248.80:8880/play/127.568865.m3u8
上海新闻综合,http://156.238.248.80:8880/play/128.487916.m3u8
上视东方影视,http://156.238.248.80:8880/play/129.744677.m3u8
公共新闻频道,http://156.238.248.80:8880/play/130.984441.m3u8
盐城新闻综合,http://156.238.248.80:8880/play/131.553402.m3u8
江阴新闻综合,http://156.238.248.80:8880/play/132.963645.m3u8
南通新闻综合,http://156.238.248.80:8880/play/133.360487.m3u8
宜兴新闻综合,http://156.238.248.80:8880/play/134.873357.m3u8
溧水新闻综合,http://156.238.248.80:8880/play/135.855099.m3u8
陕西银龄频道,http://156.238.248.80:8880/play/136.920816.m3u8
陕西都市青春频道,http://156.238.248.80:8880/play/137.777712.m3u8
陕西秦腔频道,http://156.238.248.80:8880/play/138.147115.m3u8
陕西新闻资讯频道,http://156.238.248.80:8880/play/139.553745.m3u8
财富天下,http://156.238.248.80:8880/play/140.602631.m3u8
辽宁公共频道,http://156.238.248.80:8880/play/141.136686.m3u8
辽宁生活频道,http://156.238.248.80:8880/play/142.757516.m3u8
辽宁影视剧频道,http://156.238.248.80:8880/play/143.656793.m3u8
宁夏文旅频道,http://156.238.248.80:8880/play/144.485778.m3u8
宁夏经济频道,http://156.238.248.80:8880/play/145.871416.m3u8
经典香港电影,http://156.238.248.80:8880/play/146.341641.m3u8
抗战经典影片,http://156.238.248.80:8880/play/147.536562.m3u8
新片放映厅,http://156.238.248.80:8880/play/148.408718.m3u8
CHC影迷电影,http://156.238.248.80:8880/play/149.455266.m3u8
CHC动作电影,http://156.238.248.80:8880/play/150.398193.m3u8
CHC家庭影院,http://156.238.248.80:8880/play/151.593288.m3u8
和美乡途轮播台,http://156.238.248.80:8880/play/152.769885.m3u8
最强综艺趴,http://156.238.248.80:8880/play/153.781067.m3u8
体育-昨天,#genre#
WTA 萨巴伦卡VS郑钦文 【全场回放】（刘钟鸣） 23:00,http://156.238.248.80:8880/play/154.290801.m3u8
WTA 萨巴伦卡VS郑钦文 【全场回放】 23:00,http://156.238.248.80:8880/play/155.259627.m3u8
NBA 76人VS雷霆 全场回放（罗森） 06:55,http://156.238.248.80:8880/play/156.896059.m3u8
NBA 76人VS雷霆 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/157.451154.m3u8
NBA 活塞VS湖人 全场回放（李天宇、陈正昊、王羽希） 06:55,http://156.238.248.80:8880/play/158.333395.m3u8
NBA 活塞VS湖人 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/159.370586.m3u8
NBA 魔术VS步行者 全场回放（盛哲） 06:55,http://156.238.248.80:8880/play/160.664562.m3u8
NBA 魔术VS步行者 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/161.736050.m3u8
NBA 热火VS马刺 全场回放（王晓晨） 06:55,http://156.238.248.80:8880/play/162.229822.m3u8
NBA 热火VS马刺 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/163.399215.m3u8
NBA 老鹰VS灰熊 全场回放（贾磊） 07:25,http://156.238.248.80:8880/play/164.623841.m3u8
NBA 老鹰VS灰熊 全场回放（英文原声） 07:25,http://156.238.248.80:8880/play/165.723693.m3u8
NBA 公牛VS火箭 全场回放（连睿、周鹏、王润陶、裴优） 07:55,http://156.238.248.80:8880/play/166.565308.m3u8
NBA 公牛VS火箭 全场回放（英文原声） 07:55,http://156.238.248.80:8880/play/167.817270.m3u8
NBA 爵士VS猛龙 全场回放（刘芳宇） 08:55,http://156.238.248.80:8880/play/168.907703.m3u8
NBA 爵士VS猛龙 全场回放（英文原声） 08:55,http://156.238.248.80:8880/play/169.848373.m3u8
NBA 独行侠VS勇士 全场回放（杨健、曾令旭、闫宇峰、小七） 09:25,http://156.238.248.80:8880/play/170.154962.m3u8
NBA 独行侠VS勇士 全场回放（拜月宁） 09:25,http://156.238.248.80:8880/play/171.613558.m3u8
NBA 独行侠VS勇士 全场回放（英文原声） 09:25,http://156.238.248.80:8880/play/172.635505.m3u8
NBA 开拓者VS篮网 全场回放（姜帆、季孟年） 09:55,http://156.238.248.80:8880/play/173.347351.m3u8
NBA 开拓者VS篮网 全场回放（邢晨） 09:55,http://156.238.248.80:8880/play/174.868198.m3u8
NBA 开拓者VS篮网 全场回放（英文原声） 09:55,http://156.238.248.80:8880/play/175.996536.m3u8
NBA 快船VS雄鹿 全场回放（孙博） 10:25,http://156.238.248.80:8880/play/176.692028.m3u8
NBA 快船VS雄鹿 全场回放（英文原声） 10:25,http://156.238.248.80:8880/play/177.159465.m3u8
NBL 江西鲸裕清酒VS石家庄翔蓝 全场回放（官方解说） 19:20,http://156.238.248.80:8880/play/178.984471.m3u8
NBL 江西鲸裕清酒VS石家庄翔蓝 全场回放（原声） 19:20,http://156.238.248.80:8880/play/179.309779.m3u8
NBL 香港金牛VS盐南苏科雄狮 全场回放（官方解说） 19:20,http://156.238.248.80:8880/play/180.577341.m3u8
NBL 香港金牛VS盐南苏科雄狮 全场回放（原声） 19:20,http://156.238.248.80:8880/play/181.858945.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（一号桌）（一） 17:00,http://156.238.248.80:8880/play/182.346408.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（一号桌）（二） 17:00,http://156.238.248.80:8880/play/183.825380.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（二号桌）（一） 17:00,http://156.238.248.80:8880/play/184.677500.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（三号桌）（一） 17:00,http://156.238.248.80:8880/play/185.943493.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（三号桌）（二） 17:00,http://156.238.248.80:8880/play/186.145896.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（四号桌）（一） 17:00,http://156.238.248.80:8880/play/187.712647.m3u8
WTT 汪洋压台迎连胜 杨晓馨3-1取胜 全场回放（四号桌）（二） 17:00,http://156.238.248.80:8880/play/188.612510.m3u8
体育-今天,#genre#
NBA 黄蜂VS国王 董倡硕 06:55,http://156.238.248.80:8880/play/189.671633.m3u8
NBA 黄蜂VS国王 英文原声 06:55,http://156.238.248.80:8880/play/190.429988.m3u8
WTA 高芙PK本西奇 穆霍娃闯入四强 赛场原声 02:00,http://156.238.248.80:8880/play/191.684133.m3u8
WTA 高芙PK本西奇 穆霍娃闯入四强 英文原声 02:00,http://156.238.248.80:8880/play/192.186715.m3u8
NBA 尼克斯VS鹈鹕 刘圳展 07:25,http://156.238.248.80:8880/play/193.482045.m3u8
NBA 尼克斯VS鹈鹕 英文原声 07:25,http://156.238.248.80:8880/play/194.335556.m3u8
NBA 骑士VS魔术 杨健 曾令旭 裴优 07:45,http://156.238.248.80:8880/play/195.178737.m3u8
NBA 骑士VS魔术 英文原声 07:55,http://156.238.248.80:8880/play/196.882668.m3u8
NBA 骑士VS魔术 智能字幕 07:55,http://156.238.248.80:8880/play/197.947469.m3u8
全国撑竿跳高单项赛 全国撑竿跳高单项赛第4站 官方解说 09:45,http://156.238.248.80:8880/play/198.301738.m3u8
NBA 太阳VS掘金 庄宁宇 徐咏 陈正昊 10:45,http://156.238.248.80:8880/play/199.545992.m3u8
NBA 太阳VS掘金 英文原声 10:55,http://156.238.248.80:8880/play/200.498406.m3u8
NBA 太阳VS掘金 智能字幕 10:55,http://156.238.248.80:8880/play/201.511107.m3u8
亚冠精英 亚冠精英决赛阶段抽签仪式 涂远 14:55,http://156.238.248.80:8880/play/202.290974.m3u8
亚冠精英 亚冠精英决赛阶段抽签仪式 赛场原声 14:55,http://156.238.248.80:8880/play/203.839543.m3u8
LALIGA FC FUTURES全球锦标赛 小组赛第1轮-上海海港U12将战巴萨 解说 16:20,http://156.238.248.80:8880/play/204.445280.m3u8
WTT 陈思羽、汪洋领衔冲正赛 1号桌 17:00,http://156.238.248.80:8880/play/205.187440.m3u8
WTT 陈思羽、汪洋领衔冲正赛 2号桌 17:00,http://156.238.248.80:8880/play/206.714768.m3u8
WTT 陈思羽、汪洋领衔冲正赛 3号桌 17:35,http://156.238.248.80:8880/play/207.900115.m3u8
WTT 陈思羽、汪洋领衔冲正赛 4号桌 17:35,http://156.238.248.80:8880/play/208.771713.m3u8
NBL 上海玄鸟VS山东蜜獾 解说 19:20,http://156.238.248.80:8880/play/209.879220.m3u8
NBL 上海玄鸟VS山东蜜獾 赛场原声 19:20,http://156.238.248.80:8880/play/210.454743.m3u8
NBL 合肥狂风VS长沙勇胜 解说 19:20,http://156.238.248.80:8880/play/211.915008.m3u8
NBL 合肥狂风VS长沙勇胜 赛场原声 19:20,http://156.238.248.80:8880/play/212.563355.m3u8
CBA 宁波町渥VS福建晋江文旅 图文直播 19:35,http://156.238.248.80:8880/play/213.981080.m3u8
CBA 广东东阳光VS四川丰谷酒业 图文直播 19:35,http://156.238.248.80:8880/play/214.770299.m3u8
CBA 长白山恩都里VS辽宁本钢 图文直播 19:35,http://156.238.248.80:8880/play/215.651520.m3u8
CBA 山西汾酒VS上海久事 图文直播 19:35,http://156.238.248.80:8880/play/216.485967.m3u8
CBA 北京北汽VS浙江稠州金租 图文直播 19:35,http://156.238.248.80:8880/play/217.284943.m3u8
CBA 新疆伊力特VS山东高速 图文直播 20:00,http://156.238.248.80:8880/play/218.765635.m3u8
LALIGA FC FUTURES全球锦标赛 小组赛第2轮-巴萨皇马U12梯队出战 解说 22:50,http://156.238.248.80:8880/play/219.827194.m3u8
体育-明天,#genre#
WTA WTA迈阿密站女单day9 清流播出 01:00,http://156.238.248.80:8880/play/220.712288.m3u8
WTA WTA迈阿密站女单day9 英文原声 01:00,http://156.238.248.80:8880/play/221.363951.m3u8
NBA 活塞VS老鹰 罗森 06:55,http://156.238.248.80:8880/play/222.924947.m3u8
NBA 活塞VS老鹰 英文原声 06:55,http://156.238.248.80:8880/play/223.831717.m3u8
NBA 步行者VS湖人 孙博 马健 佳依 06:45,http://156.238.248.80:8880/play/224.352060.m3u8
NBA 步行者VS湖人 英文原声 06:55,http://156.238.248.80:8880/play/225.341815.m3u8
NBA 步行者VS湖人 郑泽鹏 06:55,http://156.238.248.80:8880/play/226.558433.m3u8
NBA 76人VS公牛 张泽欣 06:55,http://156.238.248.80:8880/play/227.572334.m3u8
NBA 76人VS公牛 英文原声 06:55,http://156.238.248.80:8880/play/228.918485.m3u8
NBA 骑士VS热火 吴博文 07:25,http://156.238.248.80:8880/play/229.772208.m3u8
NBA 骑士VS热火 英文原声 07:25,http://156.238.248.80:8880/play/230.963482.m3u8
NBA 凯尔特人VS雷霆 蔡凯臣 季孟年 07:25,http://156.238.248.80:8880/play/231.165233.m3u8
NBA 凯尔特人VS雷霆 智能字幕 07:25,http://156.238.248.80:8880/play/232.722088.m3u8
NBA 凯尔特人VS雷霆 英文原声 07:25,http://156.238.248.80:8880/play/233.372884.m3u8
NBA 灰熊VS马刺 王晓晨 07:55,http://156.238.248.80:8880/play/234.467217.m3u8
NBA 灰熊VS马刺 英文原声 07:55,http://156.238.248.80:8880/play/235.147185.m3u8
NBA 爵士VS奇才 刘芳宇 08:55,http://156.238.248.80:8880/play/236.852542.m3u8
NBA 爵士VS奇才 英文原声 08:55,http://156.238.248.80:8880/play/237.772736.m3u8
NBA 森林狼VS火箭 庄宁宇 刘炜 陈正昊 09:15,http://156.238.248.80:8880/play/238.502400.m3u8
NBA 森林狼VS火箭 周鹏 09:25,http://156.238.248.80:8880/play/239.926245.m3u8
NBA 森林狼VS火箭 莫俊祺 09:25,http://156.238.248.80:8880/play/240.147634.m3u8
NBA 森林狼VS火箭 洪荒 09:25,http://156.238.248.80:8880/play/241.810125.m3u8
NBA 森林狼VS火箭 英文原声 09:25,http://156.238.248.80:8880/play/242.685774.m3u8
NBA 森林狼VS火箭 智能字幕 09:25,http://156.238.248.80:8880/play/243.404108.m3u8
NBA 掘金VS独行侠 盛哲 09:55,http://156.238.248.80:8880/play/244.778096.m3u8
NBA 掘金VS独行侠 英文原声 09:55,http://156.238.248.80:8880/play/245.798391.m3u8
NBA 开拓者VS雄鹿 邵化谦 周赫 09:55,http://156.238.248.80:8880/play/246.132689.m3u8
NBA 开拓者VS雄鹿 邢晨 09:55,http://156.238.248.80:8880/play/247.707847.m3u8
NBA 开拓者VS雄鹿 英文原声 09:55,http://156.238.248.80:8880/play/248.500435.m3u8
NBA 勇士VS篮网 姜帆 闫宇峰 小七 09:45,http://156.238.248.80:8880/play/249.100811.m3u8
NBA 勇士VS篮网 拜月宁 09:55,http://156.238.248.80:8880/play/250.654317.m3u8
NBA 勇士VS篮网 英文原声 09:55,http://156.238.248.80:8880/play/251.470695.m3u8
NBA 快船VS猛龙 徐秦威 殷文玉 10:25,http://156.238.248.80:8880/play/252.685365.m3u8
NBA 快船VS猛龙 英文原声 10:25,http://156.238.248.80:8880/play/253.711315.m3u8
LALIGA FC FUTURES全球锦标赛 小组赛第3轮-上海海港U12将战瓦伦 解说 16:20,http://156.238.248.80:8880/play/254.285916.m3u8
WTT 双打1/8决赛、男女单打1/16决赛 刘馨蕊 18:00,http://156.238.248.80:8880/play/255.317156.m3u8
WTT 双打1/8决赛、男女单打1/16决赛 1号桌 18:00,http://156.238.248.80:8880/play/256.598710.m3u8
WTT 双打1/8决赛、男女单打1/16决赛 2号桌 18:00,http://156.238.248.80:8880/play/257.143312.m3u8
WTT 双打1/8决赛、男女单打1/16决赛 3号桌 18:00,http://156.238.248.80:8880/play/258.636939.m3u8
WTT 双打1/8决赛、男女单打1/16决赛 4号桌 18:00,http://156.238.248.80:8880/play/259.601281.m3u8
WCBA 山西竹叶青酒VS武汉盛帆黄鹤 解说 19:25,http://156.238.248.80:8880/play/260.183241.m3u8
WCBA 山西竹叶青酒VS武汉盛帆黄鹤 清流播出 19:25,http://156.238.248.80:8880/play/261.181515.m3u8
CBA 北京控股VS南京天之蓝 图文直播 19:35,http://156.238.248.80:8880/play/262.789476.m3u8
CBA 广州朗肽海本VS青岛崂山啤酒 图文直播 19:35,http://156.238.248.80:8880/play/263.522128.m3u8
LALIGA FC FUTURES全球锦标赛 小组赛第4轮-上海海港U12将战黄潜 解说 22:50,http://156.238.248.80:8880/play/264.105860.m3u8
今日组播,#genre#
九屏直播频道,http://156.238.248.80:8880/play/265.555428.m3u8
河北卫视,http://156.238.248.80:8880/play/266.517221.m3u8
河北经济生活,http://156.238.248.80:8880/play/267.423324.m3u8
河北都市频道,http://156.238.248.80:8880/play/268.931955.m3u8
河北影视剧频道,http://156.238.248.80:8880/play/269.755191.m3u8
河北少儿科教,http://156.238.248.80:8880/play/270.593624.m3u8
河北文旅公共,http://156.238.248.80:8880/play/271.254254.m3u8
河北农民,http://156.238.248.80:8880/play/272.622797.m3u8
睛彩河北,http://156.238.248.80:8880/play/273.146385.m3u8
河北杂技频道,http://156.238.248.80:8880/play/274.482108.m3u8
河北三佳购物,http://156.238.248.80:8880/play/275.901872.m3u8
CCTV-1综合,http://156.238.248.80:8880/play/276.622213.m3u8
CCTV-2财经,http://156.238.248.80:8880/play/277.531613.m3u8
CCTV-3综艺,http://156.238.248.80:8880/play/278.269252.m3u8
CCTV-4中文国际,http://156.238.248.80:8880/play/279.447290.m3u8
CCTV-5体育,http://156.238.248.80:8880/play/280.248981.m3u8
CCTV-5+体育赛事,http://156.238.248.80:8880/play/281.599891.m3u8
CCTV-6电影,http://156.238.248.80:8880/play/282.118522.m3u8
CCTV-7国防军事,http://156.238.248.80:8880/play/283.305996.m3u8
CCTV-8电视剧,http://156.238.248.80:8880/play/284.610704.m3u8
CCTV-9纪录,http://156.238.248.80:8880/play/285.573924.m3u8
CCTV-10科教,http://156.238.248.80:8880/play/286.864078.m3u8
CCTV-11戏曲,http://156.238.248.80:8880/play/287.152930.m3u8
CCTV-12社会与法,http://156.238.248.80:8880/play/288.776088.m3u8
CCTV-13新闻,http://156.238.248.80:8880/play/289.884422.m3u8
CCTV-14少儿,http://156.238.248.80:8880/play/290.811059.m3u8
CCTV-15音乐,http://156.238.248.80:8880/play/291.735259.m3u8
CCTV-17农业农村,http://156.238.248.80:8880/play/292.448503.m3u8
CCTV电视指南,http://156.238.248.80:8880/play/293.572567.m3u8
CCTV第一剧场,http://156.238.248.80:8880/play/294.798585.m3u8
CCTV风云剧场,http://156.238.248.80:8880/play/295.388147.m3u8
CCTV怀旧剧场,http://156.238.248.80:8880/play/296.341066.m3u8
CCTV风云音乐,http://156.238.248.80:8880/play/297.474344.m3u8
CCTV风云足球,http://156.238.248.80:8880/play/298.335701.m3u8
CCTV高尔夫网球,http://156.238.248.80:8880/play/299.615946.m3u8
CCTV央视台球,http://156.238.248.80:8880/play/300.855847.m3u8
CCTV女性时尚,http://156.238.248.80:8880/play/301.621251.m3u8
CCTV央视文化精品,http://156.238.248.80:8880/play/302.668729.m3u8
CCTV兵器科技,http://156.238.248.80:8880/play/303.526093.m3u8
CCTV世界地理,http://156.238.248.80:8880/play/304.161551.m3u8
羽毛球专区,http://156.238.248.80:8880/play/305.623273.m3u8
中式八球国际公开赛,http://156.238.248.80:8880/play/306.131223.m3u8
石家庄新闻综合,http://156.238.248.80:8880/play/307.570020.m3u8
石家庄文化娱乐,http://156.238.248.80:8880/play/308.772063.m3u8
石家庄城市服务,http://156.238.248.80:8880/play/309.666673.m3u8
承德新闻综合,http://156.238.248.80:8880/play/310.669398.m3u8
