分类: 📡卫视频道, 名称: 湖北卫视, 有效: 24, IPv4: 174, IPv6: 0, 最小延迟: 46 ms, 最高速率: 108.95 M/s, 平均速率: 29.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 22, IPv4: 151, IPv6: 0, 最小延迟: 51 ms, 最高速率: 100.52 M/s, 平均速率: 28.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 22, IPv4: 117, IPv6: 0, 最小延迟: 50 ms, 最高速率: 103.17 M/s, 平均速率: 35.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 27, IPv4: 147, IPv6: 0, 最小延迟: 47 ms, 最高速率: 103.03 M/s, 平均速率: 23.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 27, IPv4: 152, IPv6: 0, 最小延迟: 48 ms, 最高速率: 116.77 M/s, 平均速率: 29.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 25, IPv4: 144, IPv6: 0, 最小延迟: 45 ms, 最高速率: 110.72 M/s, 平均速率: 31.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 17, IPv4: 89, IPv6: 0, 最小延迟: 44 ms, 最高速率: 117.75 M/s, 平均速率: 43.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 23, IPv4: 138, IPv6: 0, 最小延迟: 42 ms, 最高速率: 115.47 M/s, 平均速率: 42.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 25, IPv4: 137, IPv6: 0, 最小延迟: 43 ms, 最高速率: 114.19 M/s, 平均速率: 39.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 有效: 13, IPv4: 100, IPv6: 0, 最小延迟: 50 ms, 最高速率: 103.74 M/s, 平均速率: 41.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
